"vmin","10MeV_0.1eV","10MeV_1eV","100MeV_0.1eV","100MeV_1eV","1000MeV_0.1eV","1000MeV_1eV"
34.347343647597604,0.,0.,3.3622267423092585e20,0.,2.9194163765978356e20,5.209563945172162e19
34.87955629318179,0.,0.,3.250132636224248e20,0.,2.83249342879012e20,5.6276446260119675e19
35.42001558232088,0.,0.,3.141437613261095e20,0.,2.7475401262940314e20,6.156024207784607e19
35.968849296890205,0.,0.,3.03598639633621e20,0.,2.6648876222438654e20,6.815098110759877e19
36.526187198747294,0.,0.,2.9335952679918735e20,0.,2.5847757904694277e20,7.601279850132295e19
37.0921610604118,0.,0.,2.8344022792580655e20,0.,2.507124311091581e20,8.579026889215574e19
37.666904696220676,0.,0.,2.7388829482937447e20,0.,2.4318555207126316e20,9.714785655276388e19
38.25055399396614,0.,0.,2.647062821450741e20,0.,2.3588910621056637e20,1.0945485829463418e20
38.843246947024056,0.,0.,2.5587042188756255e20,0.,2.288088595496467e20,1.2243946188215683e20
39.44512368697978,0.,0.,2.473637885690869e20,0.,2.2193732407759415e20,1.3515341934342038e20
40.05632651675993,0.,0.,2.3916534135876207e20,0.,2.1526756920041898e20,1.4804050321980562e20
40.676999944277235,0.,0.,2.3125925915123335e20,0.,2.0879306171119727e20,1.6244493220074766e20
41.30729071659683,0.,0.,2.2363365841997182e20,0.,2.0250837309002573e20,1.786734221612617e20
41.947347854632106,0.,0.,2.1627584138911085e20,3.474348065124089e19,1.9640685569418976e20,2.0331369618779547e20
42.597322688377815,4.048440575996022e20,0.,2.0917160319767075e20,1.5168457982181936e20,1.9048314640432798e20,2.5217648501076414e20
43.25736889268947,7.02855593007141e20,0.,2.0231577560257066e20,1.5719473248747553e20,1.847320627315687e20,3.282805486511946e20
43.92764252361696,8.544476652206045e20,0.,1.9569778448478146e20,1.033610987943991e20,1.7914823339378154e20,4.410058342360999e20
44.60830205530116,9.669045201625595e20,0.,1.8930656526510703e20,9.231283490872227e19,1.737259477634813e20,6.559722003263683e20
45.29950841744238,1.4118879578550575e21,0.,1.8313213843964346e20,8.842756494059584e19,1.6846095933448562e20,9.837038907461979e20
46.001425033349186,1.3452615488159888e21,0.,1.7716626352373888e20,8.989712327243173e19,1.633485062128571e20,1.4201205556958255e21
46.714217858576994,1.6267798189512133e21,0.,1.7140061094934692e20,9.596661872527512e19,1.5838401207311496e20,1.9068300129145004e21
