"vmin","0.2–0.3 eV","0.3–0.4 eV","0.4–0.5 eV","0.5–0.6 eV","0.6–0.7 eV","0.7–0.8 eV","0.8–0.9 eV","0.9–1. eV","1.–1.1 eV"
16.727079921203504,6.4608036592126796e+19,4.93362336540463e+17,4.9484303752238664e+16,9.042420594943342e+15,2.252712401142204e+15,6.833011283985439e+14,2.3740105613104422e+14,9.094983765946362e+13,3.743027544806416e+13
16.940687586573414,7.184859376197384e+19,5.583113101197849e+17,5.533965791456162e+16,1.010918780815163e+16,2.52431806945795e+15,7.685509477159112e+14,2.6832547626670447e+14,1.0342062366200869e+14,4.287948603311229e+13
17.15702305828607,7.937538387389252e+19,6.326037589082975e+17,6.188251955736033e+16,1.129728868131242e+16,2.826839134934968e+15,8.636465779761148e+14,3.029038493430004e+14,1.1740825946350558e+14,4.901480482762816e+13
17.37612117089403,8.710809337274222e+19,7.177966565148772e+17,6.91932630886007e+16,1.2620019954523696e+16,3.1636010682099245e+15,9.69645626340049e+14,3.4153166568305106e+14,1.3307911442301964e+14,5.591278691251631e+13
17.59801720379301,9.49837394453714e+19,8.159233924342176e+17,7.737097439422312e+16,1.4093673810052114e+16,3.538669737470531e+15,1.0878397110582545e+15,3.846915772800389e+14,1.506361235530208e+14,6.3666787343646445e+13
17.822746886902653,1.0298899891932928e+20,9.297913045008982e+17,8.654386067969544e+16,1.5739201170412528e+16,3.957262719633295e+15,1.2198845337144995e+15,4.3300186893792706e+14,1.7033912863333825e+14,7.239630431994981e+13
18.050346406419763,1.1112426774452729e+20,1.0619282342172645e+18,9.679924386939934e+16,1.7570172007585736e+16,4.422701852137382e+15,1.3668285983859588e+15,4.868543085990137e+14,1.9235345345348894e+14,8.217786200282492e+13
18.280852410645032,1.1937275578474671e+20,1.2160244563669169e+18,1.0826382006384174e+17,1.960653085476318e+16,4.939892277875213e+15,1.5302213031940465e+15,5.468269792580177e+14,2.1692235850404953e+14,9.312364109954573e+13
18.514302015884248,1.2770804554275973e+20,1.398059373812317e+18,1.2113390261050286e+17,2.1879321836141584e+16,5.516482614113372e+15,1.7124790220999255e+15,6.138207201462651e+14,2.4442438908678728e+14,1.054078908395974e+14
18.750732812424722,1.361282320180011e+20,1.6144916715534845e+18,1.3555994684421968e+17,2.4411222751108764e+16,6.157969341941835e+15,1.915327793619495e+15,6.884783305397374e+14,2.7513015229484622e+14,1.191556391313776e+14
